,name,auc,nums,prec_@recall=0.6,f1_s_@recall=0.6,thre_@recall=0.6,prec_@recall=0.65,f1_s_@recall=0.65,thre_@recall=0.65,prec_@recall=0.7,f1_s_@recall=0.7,thre_@recall=0.7,prec_@recall=0.75,f1_s_@recall=0.75,thre_@recall=0.75,prec_@recall=0.8,f1_s_@recall=0.8,thre_@recall=0.8,prec_@recall=0.85,f1_s_@recall=0.85,thre_@recall=0.85,prec_@recall=0.9,f1_s_@recall=0.9,thre_@recall=0.9,precison_bset,recall_best,thresh_best,f1_score_best
0,事故_交通事故,0.9722065572943608,253.0,0.17059483726150393,0.26573426573426573,0.03700209781527519,0.14627659574468085,0.2389572773352643,0.025386232882738113,0.11083437110834371,0.1915008068854223,0.014066291972994804,0.0880853036624942,0.15767634854771784,0.008633555844426155,0.06673241288625904,0.12321699544764796,0.005104836076498032,0.049586776859504134,0.09372965936211759,0.0033502914011478424,0.03224893917963225,0.06226956165505941,0.0019394534174352884,0.4072164948453608,0.31225296442687744,0.2644534761593794,0.3534675615212528
1,事故_自然灾害,0.9144224493500274,240.0,0.026006862922160014,0.04985286480872425,0.0016182261751964688,0.02235918016339401,0.043231259526118886,0.0012361834524199367,0.018156273640981303,0.03539450121141895,0.0008736123563721776,0.014798980514675656,0.029025235830041123,0.0006178868934512138,0.011744555908979692,0.023149264528574874,0.00041542225517332554,0.008865710560625815,0.017548387096774195,0.00025079050101339817,0.0058261854669040295,0.011577424023154847,9.934882837114856e-05,0.13032581453634084,0.21666666666666667,0.025076458509933036,0.162754303599374
2,人物_女性,0.982541770456979,11619.0,0.9408906882591093,0.7327762888223237,0.8896596431732178,0.9253859348198971,0.7636620999949447,0.8318187594413757,0.9017738359201773,0.7882164833567518,0.7433046698570251,0.8733340014029461,0.8070191684415222,0.6229209899902344,0.8343205887632382,0.8168358156495761,0.4606654942035675,0.7795580110497238,0.8132899666515707,0.2910662591457367,0.6887059598287784,0.7803312938367408,0.13539350032806396,0.826880870862962,0.8106549617006628,0.42998496125459257,0.8186875271621034
3,人物_小孩,0.9710667021325006,2998.0,0.819216757741348,0.6927223719676551,0.49615561962127686,0.761328125,0.7013314141777618,0.3476056158542633,0.6872953503601834,0.693654990085922,0.2136688381433487,0.5997333333333333,0.6665678719620628,0.12540698051452637,0.4771280827366746,0.5978071268377773,0.06306338310241699,0.3497530186608123,0.49562512152440213,0.029238203540444374,0.22239617666446934,0.3566803224527553,0.011242694221436977,0.7423791821561339,0.6661107404936625,0.2999884597012725,0.7021800281293952
4,人物_男性,0.9581482549211385,6269.0,0.6097244732576985,0.6048717742583809,0.36059918999671936,0.5666017797552837,0.605452789540153,0.2739107012748718,0.5174487149257251,0.5950782997762863,0.19896340370178223,0.4707177895685254,0.5784229302497231,0.13877223432064056,0.4240426071519148,0.554315393966184,0.09440688788890839,0.3584448779175355,0.5042581377744133,0.05486828833818436,0.28719018779581656,0.4354502662242457,0.02649407647550106,0.5699030490375158,0.6469931408518105,0.27990594326360907,0.606006275212909
5,人物_老人,0.9615531312104928,762.0,0.2528989508558807,0.3560046638165566,0.054797910153865814,0.2148116067561715,0.3230218169977206,0.03944547101855278,0.17997977755308392,0.28640386162510056,0.027363402768969536,0.14681724845995894,0.24559896951481322,0.018193447962403297,0.10382978723404256,0.1838179900557481,0.009244710206985474,0.08049689440993789,0.14707217430776212,0.005463679786771536,0.04701206140350877,0.08935782206591117,0.0018982186447829008,0.4778761061946903,0.4251968503937008,0.20992990515213591,0.45000000000000007
6,兴趣爱好_书法,0.9682121841848297,293.0,0.22448979591836735,0.3268337975858867,0.05555878207087517,0.1595655806182122,0.25637583892617444,0.02687959559261799,0.13742494996664442,0.22991071428571427,0.017145510762929916,0.1095072175211548,0.19113814074717636,0.010509788990020752,0.07687275106313379,0.14029850746268657,0.005345798097550869,0.053475935828877004,0.10064412238325281,0.0028919491451233625,0.03214807598636142,0.06208112874779542,0.001307960832491517,0.4458874458874459,0.3515358361774744,0.31669218073616434,0.39312977099236646
7,兴趣爱好_写作,0.9510868213830851,503.0,0.0934984520123839,0.16180016072863646,0.019973574206233025,0.0765807962529274,0.13702074167190448,0.014183102175593376,0.06326164874551972,0.1160611540358376,0.010016171261668205,0.059154929577464786,0.1096764833889453,0.008257481269538403,0.04760217339948027,0.08986509086854721,0.005520975217223167,0.035110746513535684,0.0674387457653825,0.0034542125649750233,0.024515640220803117,0.04773194246878458,0.0019277178216725588,0.29974811083123426,0.23658051689860835,0.15702422129930124,0.2644444444444444
8,兴趣爱好_手工,0.97379908649382,638.0,0.35234590616375344,0.44405797101449274,0.11269034445285797,0.2883947185545518,0.39961482908040447,0.07489488273859024,0.23390894819466249,0.3507257748136524,0.04686734452843666,0.19566993464052287,0.3104342190537913,0.031047532334923744,0.15475469412477286,0.25939086294416247,0.01903889887034893,0.12207733812949641,0.2135273299252851,0.011529014445841312,0.07633081109783618,0.14074164728919347,0.004650415387004614,0.5879732739420935,0.41379310344827586,0.3580289447405705,0.48574057037718493
9,兴趣爱好_摄影,0.9419122134220572,447.0,0.10086239220097488,0.17276814386640976,0.02125304378569126,0.08483965014577259,0.1501160691256126,0.01585901342332363,0.07466603053435114,0.1349428756197456,0.012518450617790222,0.05879265091863517,0.10905550146056475,0.008349712938070297,0.04095641230980437,0.0779277318241184,0.004710851237177849,0.028200371057513916,0.05458985777905473,0.002538728527724743,0.017720517104916015,0.03475785932985467,0.001097121392376721,0.3102766798418972,0.3512304250559284,0.12899722233969604,0.32948583420776495
