,name,auc,nums,reca_@precision=0.6,f1_s_@precision=0.6,thre_@precision=0.6,reca_@precision=0.65,f1_s_@precision=0.65,thre_@precision=0.65,reca_@precision=0.7,f1_s_@precision=0.7,thre_@precision=0.7,reca_@precision=0.75,f1_s_@precision=0.75,thre_@precision=0.75,reca_@precision=0.8,f1_s_@precision=0.8,thre_@precision=0.8,reca_@precision=0.85,f1_s_@precision=0.85,thre_@precision=0.85,reca_@precision=0.9,f1_s_@precision=0.9,thre_@precision=0.9,precison_bset,recall_best,thresh_best,f1_score_best
0,事故_交通事故,0.9875350598387352,253.0,0.1976284584980237,0.29761904761904767,0.4076119214296341,0.1857707509881423,0.28923076923076924,0.44998402893543243,0.15019762845849802,0.24755700325732896,0.486201748251915,0.07905138339920949,0.14336917562724014,0.5955437421798706,0.06719367588932806,0.12408759124087591,0.6032640933990479,0.007905138339920948,0.01568627450980392,0.7370633780956268,0.007905138339920948,0.01568627450980392,0.7370633780956268,0.4093567251461988,0.5533596837944664,0.15439674410394125,0.47058823529411764
1,事故_自然灾害,0.9752213884619246,240.0,0.49166666666666664,0.5412844036697247,0.11810330301523209,0.475,0.5493975903614459,0.13113442063331604,0.0,0.0,0.5482260286808014,0.0,0.0,0.5482260286808014,0.0,0.0,0.5482260286808014,0.0,0.0,0.5482260286808014,0.0,0.0,0.5482260286808014,0.6551724137931034,0.475,0.13157425454940713,0.5507246376811594
2,人物_女性,0.9873308012453222,11619.0,0.9523194767191668,0.7361942781104458,0.07299166172742844,0.9412169722007058,0.768976549590409,0.10682516545057297,0.9217660728117738,0.7957204948177867,0.15847744047641754,0.896290558567863,0.8166562107904641,0.22683125361800194,0.8656510887339702,0.8315489231532388,0.31918956339359283,0.8221877958516224,0.8358927243295271,0.4420420527458191,0.761167053963336,0.8248076474702729,0.5964577943086624,0.8348592453153076,0.8397452448575609,0.39995158804000147,0.8372951171372178
3,人物_小孩,0.9832007902039367,2998.0,0.8145430286857905,0.6910016977928692,0.1379644786939025,0.7925283522348232,0.7142642416954756,0.1729397878589225,0.7588392261507672,0.7282330345710626,0.22127562761306763,0.7268178785857238,0.7382686769439267,0.2844781279563904,0.6911274182788526,0.7415891195418756,0.35876428335905075,0.6340893929286191,0.7264042797095912,0.4763408303260803,0.5543695797198132,0.6862097440132122,0.6520751565694809,0.7773722627737226,0.7104736490993996,0.3199677325031223,0.7424189613105612
4,人物_男性,0.9691328665301819,6269.0,0.698197479661828,0.6453848422294307,0.27649155631661415,0.6431647790716223,0.6465683130211674,0.34555771946907043,0.5799968096985165,0.6343889034284218,0.427095890045166,0.5222523528473441,0.6157607673500094,0.5063024684786797,0.4275003987876854,0.5572304813390165,0.622219055891037,0.3394480778433562,0.4851801185590516,0.731515645980835,0.24166533737438187,0.3810362173038229,0.8360152244567871,0.6203838325094504,0.680650821502632,0.29982402893610927,0.6491214725792958
5,人物_老人,0.9786040743123402,762.0,0.4448818897637795,0.5109269027882442,0.2984214872121811,0.3556430446194226,0.46010186757215626,0.3640962094068527,0.2847769028871391,0.4048507462686567,0.4431393891572952,0.25065616797900264,0.37598425196850394,0.5022106915712357,0.15485564304461943,0.25962596259625964,0.6332638561725616,0.13385826771653545,0.23129251700680276,0.6764023005962372,0.10498687664041995,0.18823529411764706,0.7435054779052734,0.5615835777126099,0.5026246719160105,0.24994190451892895,0.5304709141274238
6,兴趣爱好_书法,0.9868920290787283,293.0,0.2593856655290102,0.36276849642004766,0.3981114774942398,0.23890784982935154,0.35000000000000003,0.42285603284835815,0.19795221843003413,0.30933333333333335,0.4646114110946655,0.18430034129692832,0.2958904109589041,0.4841163903474808,0.13651877133105803,0.23323615160349856,0.5318905264139175,0.11604095563139932,0.2042042042042042,0.5506696254014969,0.09556313993174062,0.17283950617283952,0.5673442780971527,0.35799522673031026,0.5119453924914675,0.18521960046762828,0.4213483146067416
7,兴趣爱好_写作,0.9794285431339397,503.0,0.14314115308151093,0.23113964686998395,0.3836345449090004,0.12326043737574553,0.2073578595317726,0.41438908874988556,0.1073558648111332,0.18620689655172412,0.4508777856826782,0.10139165009940358,0.17863397548161122,0.47485654056072235,0.04970178926441352,0.09363295880149813,0.5653406530618668,0.027833001988071572,0.053949903660886325,0.6384423673152924,0.0019880715705765406,0.003968253968253968,0.7340440154075623,0.40894568690095845,0.5089463220675944,0.16896681460440782,0.4534986713906111
8,兴趣爱好_手工,0.9856272595657385,638.0,0.4890282131661442,0.5388601036269429,0.2696595788002014,0.43103448275862066,0.5183788878416589,0.32910122722387314,0.35266457680250785,0.46923879040667366,0.41408559161936864,0.3072100313479624,0.4360400444938821,0.4736517518758774,0.26332288401253917,0.3962264150943396,0.5338775813579559,0.21003134796238246,0.3371069182389937,0.6090540885925293,0.10031347962382445,0.18053596614950634,0.7473950982093811,0.51171875,0.6159874608150471,0.19089510428446366,0.5590327169274538
9,兴趣爱好_摄影,0.9709413868861503,447.0,0.21700223713646533,0.3190789473684211,0.292013943195343,0.174496644295302,0.2751322751322751,0.33718937635421753,0.12751677852348994,0.2159090909090909,0.40758734196424484,0.10738255033557047,0.18786692759295498,0.4649217575788498,0.05592841163310962,0.10460251046025106,0.5432049483060837,0.053691275167785234,0.10105263157894735,0.5488219708204269,0.008948545861297539,0.017738359201773836,0.6335615068674088,0.3958333333333333,0.5100671140939598,0.15906886709688994,0.4457478005865102
