,name,auc,nums,reca_@precision=0.6,f1_s_@precision=0.6,thre_@precision=0.6,reca_@precision=0.65,f1_s_@precision=0.65,thre_@precision=0.65,reca_@precision=0.7,f1_s_@precision=0.7,thre_@precision=0.7,reca_@precision=0.75,f1_s_@precision=0.75,thre_@precision=0.75,reca_@precision=0.8,f1_s_@precision=0.8,thre_@precision=0.8,reca_@precision=0.85,f1_s_@precision=0.85,thre_@precision=0.85,reca_@precision=0.9,f1_s_@precision=0.9,thre_@precision=0.9,precison_bset,recall_best,thresh_best,f1_score_best
30,医疗_药物,0.935847216,53,0.094339623,0.163934426,0.388486058,0.094339623,0.166666667,0.396184802,0.094339623,0.166666667,0.396184802,0.075471698,0.137931034,0.459279358,0.075471698,0.137931034,0.459279358,0.075471698,0.140350877,0.470532477,0.075471698,0.140350877,0.470532477,0.571428571,0.150943396,0.246191472,0.23880597
226,美食_奶茶,0.971349139,83,0.144578313,0.233009709,0.313737929,0.108433735,0.1875,0.406485587,0.084337349,0.150537634,0.455105782,0.072289157,0.131868132,0.481327325,0.072289157,0.133333333,0.509070039,0.072289157,0.133333333,0.509070039,0.024096386,0.047058824,0.680154145,0.285714286,0.481927711,0.035823355,0.358744395
60,室外_公园,0.973399842,58,0.103448276,0.176470588,0.309685469,0.068965517,0.125,0.570523918,0.068965517,0.126984127,0.61331898,0.068965517,0.126984127,0.61331898,0.068965517,0.126984127,0.61331898,0.068965517,0.129032258,0.656549275,0.068965517,0.129032258,0.656549275,0.322580645,0.172413793,0.126983647,0.224719101
18,动植物_多肉盆栽,0.924261979,15,0.133333333,0.222222222,0.528622985,0.133333333,0.222222222,0.528622985,0.066666667,0.125,0.714375734,0.066666667,0.125,0.714375734,0.066666667,0.125,0.714375734,0.066666667,0.125,0.714375734,0.066666667,0.125,0.714375734,0.375,0.2,0.28018051,0.260869565
117,教程解说_评测,0.989226611,48,0.0625,0.113207547,0.511999369,0.0625,0.115384615,0.531578779,0.0625,0.115384615,0.531578779,0.0625,0.115384615,0.531578779,0.020833333,0.040816327,0.699921012,0.020833333,0.040816327,0.699921012,0.020833333,0.040816327,0.699921012,0.159722222,0.479166667,0.062755809,0.239583333
215,社会关系_老板员工,0.917258979,71,0.056338028,0.103896104,0.526356339,0.056338028,0.103896104,0.526356339,0.056338028,0.105263158,0.545233011,0.056338028,0.105263158,0.545233011,0.056338028,0.105263158,0.545233011,0.056338028,0.106666667,0.579722166,0.056338028,0.106666667,0.579722166,0.3,0.211267606,0.118400357,0.247933884
191,特色专题_奥运会,0.925206781,18,0.111111111,0.19047619,0.864920437,0.111111111,0.19047619,0.864920437,0.055555556,0.105263158,0.91981703,0.055555556,0.105263158,0.91981703,0.055555556,0.105263158,0.91981703,0.055555556,0.105263158,0.91981703,0.055555556,0.105263158,0.91981703,0.357142857,0.277777778,0.495363793,0.3125
248,职业身份_工厂技工,0.987474133,77,0.116883117,0.195652174,0.704260707,0.116883117,0.2,0.725466967,0.064935065,0.119047619,0.824008286,0.051948052,0.097560976,0.886627495,0.051948052,0.097560976,0.886627495,0.025974026,0.050632911,0.942741156,0.025974026,0.050632911,0.942741156,0.360655738,0.571428571,0.089046491,0.442211055
247,职业身份_小商贩,0.984424991,242,0.355371901,0.446753247,0.605859756,0.309917355,0.420168067,0.694633782,0.05785124,0.106870229,0.944235623,0.049586777,0.093023256,0.954802573,0.049586777,0.093385214,0.954802692,0.012396694,0.024489796,0.973012447,0.012396694,0.024489796,0.973012447,0.485507246,0.553719008,0.298874599,0.517374517
210,社会关系_同学朋友,0.946978319,1264,0.288765823,0.389957265,0.411862254,0.234177215,0.344386271,0.524068594,0.149525316,0.246414602,0.693039954,0.049050633,0.092124814,0.918303013,0.044303797,0.083958021,0.932182133,0.029272152,0.05661821,0.962901354,0.026107595,0.050769231,0.972237587,0.435719249,0.496044304,0.159886107,0.463928968
