,name,auc,nums,reca_@precision=0.6,f1_s_@precision=0.6,thre_@precision=0.6,reca_@precision=0.65,f1_s_@precision=0.65,thre_@precision=0.65,reca_@precision=0.7,f1_s_@precision=0.7,thre_@precision=0.7,reca_@precision=0.75,f1_s_@precision=0.75,thre_@precision=0.75,reca_@precision=0.8,f1_s_@precision=0.8,thre_@precision=0.8,reca_@precision=0.85,f1_s_@precision=0.85,thre_@precision=0.85,reca_@precision=0.9,f1_s_@precision=0.9,thre_@precision=0.9,precison_bset,recall_best,thresh_best,f1_score_best
0,事故_交通事故,0.9730055195029828,253.0,0.15810276679841898,0.2507836990595611,0.6200218796730042,0.12648221343873517,0.21192052980132448,0.6621665358543396,0.05138339920948617,0.0959409594095941,0.8313317894935608,0.04743083003952569,0.08921933085501858,0.8361039161682129,0.03557312252964427,0.06818181818181818,0.8491308093070984,0.02766798418972332,0.05363984674329502,0.8724272847175598,0.023715415019762844,0.04633204633204632,0.8829997777938843,0.3577586206896552,0.32806324110671936,0.26484356063874376,0.34226804123711346
1,事故_自然灾害,0.913147751936787,240.0,0.0,0.0,0.8204581141471863,0.0,0.0,0.8204581141471863,0.0,0.0,0.8204581141471863,0.0,0.0,0.8204581141471863,0.0,0.0,0.8204581141471863,0.0,0.0,0.8204581141471863,0.0,0.0,0.8204581141471863,0.18461538461538463,0.15,0.057432068097027805,0.16551724137931034
2,人物_女性,0.9826928453548647,11619.0,0.9354505551252259,0.7310822627295352,0.06509966403245926,0.9180652379722868,0.7611402476006993,0.09818718582391739,0.8968069541268612,0.7862964080893451,0.15032753348350525,0.8701265169119545,0.8056097852504084,0.23192426562309265,0.8363886737240727,0.8178069511066229,0.34921979904174805,0.7823392718822618,0.814771657777977,0.5262861847877502,0.708838970651519,0.7930669234472796,0.7288561463356018,0.8231972198088618,0.8154746535846459,0.41997821630336657,0.8193177396342255
3,人物_小孩,0.9711765478863966,2998.0,0.7505003335557038,0.6668642560758743,0.13559043407440186,0.7261507671781188,0.6859933827004884,0.18176406621932983,0.6941294196130754,0.6971524288107204,0.24581891298294067,0.6557705136757839,0.6997686421071365,0.3385109305381775,0.6207471647765177,0.699098422238918,0.4530254006385803,0.5700466977985323,0.6825079872204474,0.6060391664505005,0.4986657771847899,0.6417686198755098,0.7984470725059509,0.7423564504101416,0.6641094062708472,0.31998742722963847,0.701056338028169
4,人物_男性,0.9587706393513507,6269.0,0.613335460200989,0.6066103967815729,0.335685133934021,0.5485723400861381,0.5950341725062721,0.44818487763404846,0.48093794863614614,0.5701588502269289,0.574073076248169,0.40724198436752274,0.5278610565491574,0.6934090852737427,0.3421598341043229,0.4793296089385474,0.7914906144142151,0.25953102568192693,0.39765367224734205,0.8872325420379639,0.18774924230339768,0.31071805702217525,0.9419103264808655,0.5930373973852234,0.6222683043547615,0.3198716447466671,0.6073013154822137
5,人物_老人,0.9617043177679877,762.0,0.32677165354330706,0.42310960067969416,0.3643704652786255,0.2979002624671916,0.40864086408640865,0.4268367290496826,0.24803149606299213,0.36627906976744184,0.5513070821762085,0.2099737532808399,0.3282051282051282,0.6381606459617615,0.14829396325459318,0.2502768549280177,0.7611202001571655,0.12598425196850394,0.2196796338672769,0.8180420994758606,0.1089238845144357,0.19437939110070257,0.8787839412689209,0.46732954545454547,0.431758530183727,0.19993569883447035,0.4488403819918145
6,兴趣爱好_书法,0.9679010020016192,293.0,0.2593856655290102,0.36276849642004766,0.5401368141174316,0.2150170648464164,0.3239074550128535,0.6235900521278381,0.20819112627986347,0.32105263157894737,0.635145902633667,0.17406143344709898,0.2825484764542936,0.6987313628196716,0.13651877133105803,0.23323615160349856,0.7726023197174072,0.1296928327645051,0.22551928783382785,0.7914665341377258,0.09556313993174062,0.17283950617283952,0.843694269657135,0.3506849315068493,0.43686006825938567,0.2173003436468155,0.3890577507598785
7,兴趣爱好_写作,0.951494586550232,503.0,0.0874751491053678,0.1527777777777778,0.4555315375328064,0.08349900596421471,0.14814814814814814,0.4849938154220581,0.06958250497017893,0.12658227848101267,0.520584225654602,0.039761431411530816,0.07561436672967865,0.6274762153625488,0.039761431411530816,0.07575757575757576,0.6285685300827026,0.011928429423459244,0.02352941176470588,0.7318350076675415,0.003976143141153081,0.00792079207920792,0.8076871633529663,0.2629558541266795,0.27236580516898606,0.13211814464503938,0.267578125
8,兴趣爱好_手工,0.9741968834875836,638.0,0.3887147335423197,0.4719314938154138,0.3931809961795807,0.3510971786833856,0.4562118126272912,0.47789034247398376,0.2993730407523511,0.41978021978021973,0.6048646569252014,0.22727272727272727,0.34897713598074603,0.7264933586120605,0.15673981191222572,0.2621231979030144,0.8397911787033081,0.14576802507836992,0.248995983935743,0.8656386137008667,0.07523510971786834,0.1389290882778582,0.9484352469444275,0.5086206896551724,0.46238244514106586,0.28835578706831655,0.48440065681444994
9,兴趣爱好_摄影,0.9413417142010571,447.0,0.1319910514541387,0.21651376146788992,0.509109616279602,0.1185682326621924,0.20075757575757575,0.578359067440033,0.0738255033557047,0.13360323886639677,0.7342641353607178,0.06040268456375839,0.11180124223602485,0.7810383439064026,0.053691275167785234,0.10062893081761007,0.8056260943412781,0.020134228187919462,0.03938730853391685,0.9161893725395203,0.020134228187919462,0.03938730853391685,0.9161893725395203,0.3268398268398268,0.3378076062639821,0.15901261361618016,0.33223322332233224
10,兴趣爱好_绘画,0.9532827478058528,782.0,0.42710997442455245,0.4992526158445441,0.37388986349105835,0.4040920716112532,0.49842271293375395,0.4327087104320526,0.3554987212276215,0.47158608990670053,0.5579208135604858,0.32608695652173914,0.45454545454545453,0.6286158561706543,0.2928388746803069,0.4288389513108614,0.704864501953125,0.24040920716112532,0.3748753738783649,0.8071858286857605,0.1445012787723785,0.2491730981256891,0.9384042024612427,0.5851602023608768,0.4437340153452685,0.3399166898194495,0.5047272727272727
11,兴趣爱好_鉴宝,0.9923671111560408,601.0,0.8402662229617305,0.7004160887656035,0.12465334683656693,0.8136439267886856,0.7228381374722838,0.19110631942749023,0.7920133111480865,0.7431693989071039,0.2654935121536255,0.7587354409317804,0.7543424317617865,0.3776574730873108,0.7071547420965059,0.7508833922261485,0.6031907200813293,0.6339434276206323,0.7264061010486177,0.7914490699768066,0.5707154742096506,0.6985743380855398,0.897675633430481,0.7443729903536977,0.7703826955074875,0.35998875654787893,0.7571545380212591
12,兴趣爱好_魔术,0.9561525650337861,76.0,0.32894736842105265,0.42735042735042733,0.17946846783161163,0.3026315789473684,0.4144144144144144,0.25228944420814514,0.14473684210526316,0.24175824175824176,0.5729979276657104,0.14473684210526316,0.24444444444444444,0.5739518404006958,0.14473684210526316,0.24719101123595508,0.6096993088722229,0.13157894736842105,0.22988505747126434,0.6658855676651001,0.13157894736842105,0.22988505747126434,0.6658855676651001,0.5909090909090909,0.34210526315789475,0.16500071471125013,0.43333333333333335
